x,y,word
25.578455,28.651157,he
-25.176996,-36.854347,carrie
23.018394,61.836365,suffering
20.483337,69.511925,hostility
19.910225,70.01136,frustration
9.992232,78.88882,forgiveness
24.787033,71.06924,embarrassment
20.988016,69.68178,ambivalence
-8.798925,64.82041,aggression
30.11644,66.73307,affection
3.3736675,37.352306,acceptance
24.824232,71.15062,humiliation
21.493967,69.73606,alienation
13.469009,66.489334,anticipation
26.140953,68.74383,sadness
-27.732166,51.161095,prisoner
8.025844,-21.055283,researcher
-28.500736,-14.35835,treasurer
4.6905584,-23.483555,lecturer
-24.64803,-10.973349,manager
-26.262201,19.183472,soldier
-4.4798617,-63.210716,warrior
-3.2048032,16.135197,employee
-25.896317,-8.817846,inspector
-27.87064,-11.19255,officer
-42.57265,3.0929427,monk
17.82955,-35.91155,dancer
-16.610126,6.9272,sailor
1.4253875,-37.622837,analyst
-25.159973,36.240826,advocate
-26.670395,-9.887762,administrator
-26.487123,-15.18453,accountant
57.12839,49.444984,surly
57.982426,50.239063,impulsive
54.74518,51.14113,cowardly
54.73911,49.673294,trusting
14.056637,41.176533,encouraging
-41.09516,11.208441,observant
51.786148,29.022524,dependable
75.15739,-13.666764,cultured
39.501366,57.651173,confident
60.5271,37.23051,charming
58.706627,39.809967,imaginative
15.087029,42.917816,helpful
58.848705,39.71808,adventurous
29.68429,26.54327,the
31.252533,24.113327,and
29.360004,24.713795,for
30.116558,27.924753,that
26.734365,26.952967,was
-3.975896,34.750706,said
30.869595,24.239988,with
24.735863,24.177725,from
25.971666,29.303638,his
27.990112,26.974693,has
33.14069,25.017597,are
27.860497,27.455488,have
31.33929,30.72843,but
27.26412,26.496387,were
31.229332,33.53793,not
30.273094,27.298325,this
-2.7890668,-12.371612,who
28.226984,28.51839,they
27.313837,27.455471,had
29.920633,26.867798,which
28.267464,35.44833,will
27.017189,30.135124,their
27.57103,29.808971,its
30.310266,19.693708,one
20.732944,25.754423,after
-2.3289678,-44.388638,new
27.316622,26.952585,been
31.228172,24.560278,also
29.03002,34.929703,would
32.51709,18.829563,two
33.406925,27.415632,more
22.276247,24.039627,first
29.321745,22.181843,about
21.968987,26.494694,when
19.112394,23.043062,year
31.155657,28.767134,there
32.268482,25.30849,all
25.272852,23.318117,out
4.2580285,-10.092288,she
34.178135,23.422153,other
32.894417,26.092411,people
4.24351,-10.119175,her
17.814583,12.249335,percent
33.39775,27.476515,than
28.351393,22.617355,over
25.71427,21.982761,into
19.318163,23.235464,last
33.54628,24.363575,some
-11.157828,32.018517,government
22.155392,25.84163,time
40.257435,38.03347,you
7.321697,11.776607,world
30.230803,36.05797,can
32.329468,19.098587,three
-30.083706,-13.114569,president
31.822615,30.078266,only
-11.796449,32.276306,state
14.576619,11.946803,million
29.421848,34.97343,could
34.602924,25.504816,most
-24.377033,33.90262,against
28.162186,28.681938,them
38.283867,40.049164,what
25.67727,28.61074,him
-25.637762,-4.8646727,united
19.372713,25.233904,during
21.015942,26.062378,before
29.945314,34.610188,may
20.29915,23.613737,since
33.736942,24.257431,many
29.991932,23.918728,while
27.03347,24.388073,where
31.025343,31.068483,because
30.80476,29.29549,now
-11.609073,-3.0087159,city
28.638096,32.959934,made
35.104916,24.153406,like
30.926268,22.798512,between
31.237793,33.25335,did
33.040493,30.146338,just
-5.023627,22.92792,national
17.663721,22.279463,day
28.261433,26.105139,country
30.438566,26.427013,under
34.686954,23.734346,such
27.956015,-62.55715,second
21.958523,26.80663,then
3.673705,3.8117468,company
-4.274579,25.048454,group
31.065907,33.9344,any
26.612265,20.937576,through
-74.54617,12.314665,china
32.31938,19.098946,four
27.036762,26.860918,being
24.534668,22.821817,down
-28.978539,22.192476,war
25.051794,23.523382,back
25.196692,23.088255,off
-18.866236,-4.464586,south
-25.450249,-4.533647,american
-28.691399,25.551683,minister
-24.51304,20.474758,police
31.696661,24.511211,well
33.829697,22.44392,including
13.221,-62.26451,team
7.2601523,11.559162,international
17.910166,22.753508,week
-10.334489,32.753983,officials
30.873629,29.440142,still
31.237846,24.139372,both
32.083824,30.529839,even
22.26148,10.421667,high
29.673664,26.352829,part
-4.291258,34.39448,told
33.0357,25.120806,those
18.419271,26.487913,end
-23.13788,-13.636464,former
33.47835,24.761217,these
28.63485,33.1752,make
14.281401,11.720464,billion
38.310318,34.255898,work
27.153282,30.470999,our
26.268213,24.07231,home
0.48312357,-20.81453,school
-29.419142,30.732697,party
-38.34343,-17.334936,house
0.43526798,-9.667886,old
21.051691,27.89889,later
40.663242,35.024376,get
30.057186,19.611658,another
15.903841,22.6224,tuesday
21.666708,-15.491697,news
35.247475,28.855247,long
32.216545,19.2202,five
41.94055,24.99627,called
15.926511,22.627956,wednesday
-27.9284,18.923826,military
37.258995,36.024612,way
39.308617,26.244534,used
33.185417,28.448582,much
18.602331,24.292227,next
15.944121,22.556307,monday
15.938579,22.591114,thursday
16.00188,22.483917,friday
14.317647,-63.433094,game
29.695084,29.063295,here
28.94073,36.0962,should
27.362816,34.16716,take
37.961166,46.44359,very
-18.816204,-4.5315213,north
-20.52993,38.00739,security
11.888432,-61.511295,season
-2.5352416,-44.328094,york
38.07909,40.32149,how
-4.633815,21.732977,public
17.699333,25.178104,early
-7.7711186,32.612926,according
34.542847,21.256695,several
-15.144904,52.00261,court
36.38786,41.30901,say
29.094938,21.89269,around
-8.597949,29.510124,foreign
19.874096,27.092142,until
22.636118,23.053082,set
-26.982561,32.17452,political
11.500723,6.354556,market
30.94839,30.657135,however
-24.245737,-23.309856,family
34.727585,31.347054,life
30.481966,27.01687,same
-27.900232,-8.63095,general
24.542284,26.974977,left
46.110485,34.60106,good
24.09722,11.661245,top
3.153222,-23.122404,university
39.13608,37.016937,going
33.347,23.471266,number
29.285007,15.836962,major
41.76186,25.46989,known
8.501076,-73.26352,points
23.818779,-61.532,won
32.228287,19.219524,six
18.577724,23.000216,month
14.447014,11.394024,dollars
3.236067,9.571263,bank
-42.335434,22.891743,iraq
-3.6757395,25.263687,members
30.84683,20.111883,each
-12.40249,-5.1435924,area
22.615822,-3.379791,found
16.512009,22.225649,sunday
26.803057,24.98056,place
2.841725,4.4749403,based
34.905396,22.75415,among
28.035515,-62.639297,third
24.3239,25.498955,took
24.724775,27.200485,right
-6.311592,21.849623,local
8.543695,23.859686,economic
40.17212,37.4928,see
46.272877,33.83565,best
-7.8233175,32.608334,report
-20.542082,22.326601,killed
20.946709,32.16448,held
6.9102902,8.302468,business
-18.183662,-3.658061,west
38.028854,37.282764,does
26.630926,30.189177,own
23.605,24.817556,came
-9.99384,51.550274,law
2.408687,-9.277084,women
18.949894,38.041096,power
39.90448,40.097183,think
26.401997,-12.211443,service
0.19080701,-13.89626,children
-35.94224,-21.640974,bush
24.47741,-29.814758,show
26.252735,36.921238,help
-27.94273,-11.322844,chief
16.464262,22.22035,saturday
35.555565,18.199305,system
-39.2521,-49.39297,john
13.117431,38.95829,support
22.924019,-29.402115,series
14.309163,-63.33308,play
-11.135352,30.264874,office
20.428888,25.48698,following
-0.35512707,26.950163,meeting
13.26067,20.198257,expected
17.67139,25.084969,late
-26.377357,-5.38003,washington
-23.708504,-3.7226284,european
12.191637,-60.942318,league
20.22954,-61.773796,final
29.37781,31.654873,added
31.08723,33.87635,without
-15.100698,-30.402897,british
61.301983,-15.273995,white
16.502312,-0.9667044,history
1.1843088,-9.909132,man
2.394707,-9.21501,men
23.736858,30.044392,became
39.713734,42.015137,want
14.406101,26.180252,march
-18.585457,52.273087,case
33.583565,24.34064,few
24.492367,20.451933,run
5.261884,13.546634,money
17.22388,27.287964,began
20.238302,-61.0541,open
41.771145,26.272747,name
0.31409287,22.700102,trade
-3.3089888,-7.759451,center
-46.338886,35.23054,israel
33.913216,1.5640992,oil
39.64081,33.08322,too
16.581413,-28.912119,film
23.815073,-62.13007,win
22.601543,19.36226,led
-18.242586,-3.5755723,east
-17.356174,-3.5269072,central
-19.43534,4.0701804,air
29.549728,33.351368,come
-74.62185,12.202722,chinese
-12.858238,-6.403517,town
-29.459969,31.553938,leader
-27.748774,18.682676,army
-8.052437,0.72106856,line
31.968008,32.780235,never
40.921745,33.174084,little
-28.820953,25.609114,prime
-20.470549,23.576769,death
33.16831,26.933136,least
27.313429,31.961493,put
-28.03671,18.990267,forces
20.693153,22.047565,past
19.021446,19.838545,half
14.425907,26.284184,june
39.485863,40.35477,know
-11.678008,32.299324,federal
-58.17917,-14.958599,french
5.1294827,52.503986,peace
18.542622,23.44332,earlier
-12.097221,-2.5380394,capital
48.490746,31.706272,great
-29.555656,8.23126,union
-11.644168,-4.938561,near
24.905169,-35.985954,released
29.985523,12.40859,small
-10.121583,31.44276,department
30.611341,20.357462,every
65.63615,13.98088,health
-69.240005,7.2874775,japan
-27.194704,-10.990639,head
19.978786,23.123653,ago
16.95015,21.1365,night
29.097504,13.547426,big
18.403982,-62.170555,cup
-22.89039,27.986486,election
-17.044125,-4.260253,region
-26.943573,-11.167097,director
3.7074223,52.13356,talks
7.6537743,29.948107,program
33.34144,28.771395,far
29.714893,29.06922,today
-1.4326466,35.200294,statement
14.411269,26.279148,july
31.22155,30.5459,although
-12.903366,-7.5500007,district
21.778439,26.873178,again
-22.495161,-26.601368,born
8.878554,29.362297,development
-12.128037,35.59441,council
23.976158,21.849636,close
27.326775,-59.770744,record
28.073643,20.683252,along
-13.397028,-9.193805,county
-58.09986,-14.9894285,france
23.68612,24.384754,went
29.188847,36.526295,must
-3.7160864,35.24937,spokesman
40.025932,36.40553,your
5.8775744,34.04089,plan
5.6013737,9.334984,financial
14.40841,26.308529,april
19.988132,21.691048,recent
-34.017586,-18.645416,campaign
23.770777,30.06461,become
-27.831062,18.563221,troops
33.410576,41.751873,whether
23.02918,6.2259483,lost
21.707476,-38.44387,music
40.846855,34.87083,got
-46.253326,35.160122,israeli
28.631947,37.12554,need
22.613565,19.356668,lead
27.946743,27.005968,already
-62.298264,-4.343759,russia
31.505657,30.663752,though
29.811232,34.9441,might
25.518373,35.230797,free
24.8532,17.065207,hit
31.179512,-10.069001,information
25.514345,23.257723,away
18.90288,38.107548,control
31.429323,26.735943,within
29.668873,12.596633,large
8.583656,23.702278,economy
-5.598083,19.968033,press
-8.564299,32.390717,agency
61.750744,-1.5623502,water
-20.238487,23.540983,died
17.190912,-0.5914726,career
2.1674786,49.900352,deal
-20.896654,20.277868,attack
38.749317,-3.679075,side
32.247658,19.2616,seven
45.827652,34.379807,better
33.54989,27.667473,less
14.459009,26.368965,september
22.801153,27.056974,once
-35.887257,-21.520027,clinton
28.763983,16.099518,main
30.27495,31.14063,due
-12.251652,36.098648,committee
-0.20504665,-0.37024382,building
-0.06911282,26.920683,conference
12.773075,-60.555435,club
14.4761,26.36189,january
-1.5670658,45.017067,decision
13.253397,5.3059964,stock
-25.234396,-4.2726855,america
26.595007,33.276207,given
26.905659,33.952675,give
39.200344,27.606598,often
15.557368,23.587729,announced
27.087648,-25.715147,television
6.7951107,8.118893,industry
28.153736,36.583775,order
-0.76306397,-12.013053,young
-46.212173,34.373714,palestinian
-1.1950554,-10.627518,age
17.765932,26.802052,start
-10.940307,31.7105,administration
-62.457897,-4.351154,russian
11.938316,7.0924754,prices
20.2639,-61.724373,round
14.416103,26.359482,december
58.14818,14.89628,human
-52.27065,15.523208,india
-26.470167,23.487112,defense
-1.8412853,43.05786,asked
16.041805,13.752824,total
14.428469,26.362568,october
13.951251,-62.963596,players
-7.4422154,51.14042,bill
21.331314,40.665775,important
-17.42402,-5.197516,southern
20.676426,35.1677,move
-13.084285,18.964832,fire
-9.290769,6.8333893,population
18.449343,6.2210264,rose
14.40028,26.3714,november
28.966763,34.72102,further
-37.789154,49.627663,nuclear
-5.015699,-5.110424,street
25.316927,25.811188,taken
-5.5706234,19.912352,media
37.31835,20.964418,different
5.936304,58.262455,issue
26.22644,33.071774,received
-27.7586,-8.84614,secretary
22.738964,33.135544,return
1.215197,-22.102692,college
-7.1482153,23.067957,community
32.252945,19.27361,eight
20.804558,44.284008,despite
23.154554,10.329281,level
29.111729,14.616339,largest
26.392542,29.626139,whose
-54.52765,-13.275292,germany
14.407697,26.377142,august
18.486284,35.94012,change
-39.09219,-0.3498905,church
-54.505756,-13.208674,german
-8.676323,-0.5917829,station
-15.4313965,-30.882595,london
7.631339,-20.579567,research
61.310913,-15.265786,black
19.331387,-24.580116,story
-23.678707,-3.765932,europe
9.960565,10.524358,sales
7.643136,33.64034,policy
-5.9383383,6.705955,visit
-17.439077,-5.25302,northern
42.198746,35.25847,lot
27.97644,21.054712,across
19.105751,11.943103,per
31.259212,27.828897,current
-12.654144,34.84033,board
12.682327,-60.049355,football
-8.698529,30.250534,ministry
-3.1625552,15.8691025,workers
-22.438541,28.20141,vote
18.500896,-21.13826,book
18.74978,6.4149942,fell
32.242775,29.324873,seen
20.438375,39.767483,role
0.6422611,-20.617947,students
13.343365,5.312163,shares
-46.034096,28.310179,iran
11.075022,37.975906,process
2.0721862,50.09962,agreement
10.960857,12.611238,quarter
28.365604,30.43456,full
18.78235,-61.724644,match
8.900744,23.879477,growth
31.581978,31.835312,yet
27.6769,39.85483,possible
-17.615536,-4.476408,western
32.42604,22.028196,special
5.07464,11.964417,interest
22.56999,20.743378,behind
19.056692,46.510006,strong
-13.819073,-34.61209,england
61.583,-31.023275,food
19.153877,25.22668,period
35.497635,38.46306,real
-10.431097,32.857067,authorities
32.99497,-46.70716,car
36.170948,29.571833,term
13.777355,14.997417,rate
23.9848,-59.837646,race
-71.129616,6.813248,korea
30.842592,37.72148,enough
28.285128,-17.08867,site
-28.812702,30.992998,opposition
24.68707,32.49982,keep
27.798698,39.47227,future
-19.930408,-9.5330305,island
-5.7048874,-2.8085876,road
30.22536,9.40646,outside
40.211266,39.83816,really
4.7790112,-6.922017,century
-36.215862,-17.450855,democratic
33.535168,30.891117,almost
29.77737,19.110922,single
24.546858,51.483627,trying
30.652088,38.54585,find
23.781965,-37.0402,album
-26.185665,-12.470323,senior
18.534658,20.10611,minutes
30.29534,25.106565,together
-24.534948,30.641212,congress
15.65149,4.906644,index
-12.606298,-31.53633,australia
13.525056,30.500969,results
42.8547,33.138348,hard
17.866747,20.471136,hours
5.443279,-0.05349779,land
8.162077,43.400112,action
21.404917,9.787149,higher
14.116191,-65.85579,field
14.384083,17.545216,cut
13.005011,-61.995396,coach
0.11087951,-54.08821,san
-28.564173,-11.799544,executive
14.403578,26.348614,february
29.896727,6.071472,production
-12.5966,-15.878413,river
29.062372,50.53541,face
-69.2874,7.2396736,japanese
-43.18378,16.938705,province
-7.77014,-16.548977,park
-12.028558,35.972317,commission
-0.8720954,-53.079132,california
-25.03034,-24.898495,father
-25.486576,-25.014572,son
1.2906284,-20.019852,education
-12.851694,-6.626741,village
34.66139,2.8234644,energy
-22.827719,18.148615,shot
35.329693,28.792177,short
-65.26759,25.367155,africa
21.114193,40.522682,key
60.73829,-14.317215,red
-5.1593466,23.225412,association
18.933323,11.999848,average
3.1441376,15.5634,pay
12.94096,5.2566013,exchange
39.337975,39.106926,something
26.554129,33.53187,gave
-35.78094,-47.742397,george
23.921114,-62.43359,victory
22.272072,10.420959,low
40.267242,38.794823,things
-52.25763,16.672247,pakistan
-11.410535,29.73572,post
-2.1755173,19.070864,social
27.85477,35.621265,continue
32.092,32.364742,ever
40.662968,37.291,look
-29.852251,-11.882022,chairman
38.47916,34.113495,job
-27.057991,18.834139,soldiers
30.044374,37.978027,able
-25.76791,29.24216,parliament
39.969135,-3.2245352,front
25.610235,28.596954,himself
21.982363,57.031597,problems
-4.576424,21.636858,private
21.500849,9.512043,lower
33.281677,23.16697,list
-0.31081977,0.09456904,built
15.5204315,40.83416,efforts
-14.756747,-3.5528882,miles
26.970139,-25.345081,radio
24.69567,-29.97181,live
39.554016,24.767197,form
-38.84301,-59.063866,david
-65.24308,25.374544,african
14.420199,16.016966,increase
-0.5441917,30.805635,sent
28.070705,-62.867683,fourth
40.48568,39.544052,always
-39.88193,-10.7429495,king
3.056632,18.185759,tax
-75.56575,10.684983,taiwan
-15.176141,-30.440483,britain
21.788969,-60.9012,title
-18.6001,-2.96858,middle
7.4176064,11.332095,global
-24.273512,-27.026115,wife
24.39031,28.102438,position
-11.857632,-5.732072,located
31.078203,32.12573,clear
22.154432,20.819508,ahead
-42.40555,22.891924,iraqi
-27.890553,-1.1006413,english
7.5333333,66.558846,violence
10.519374,-72.44578,goal
8.817524,29.37906,project
-35.153915,15.344521,border
22.517443,-2.2008185,body
20.203741,29.571451,soon
15.045333,61.61551,crisis
-25.31108,10.751977,division
-28.51025,-9.90323,served
12.565429,-53.578007,tour
67.418884,13.738725,hospital
-73.291115,10.790253,kong
-9.214213,-34.51311,test
-73.30394,10.789972,hong
34.326874,-9.748221,technology
36.204865,41.471283,believe
-5.713979,24.731579,organization
18.761772,-20.61316,published
-18.285574,14.687149,weapons
1.8098822,49.198196,agreed
38.320316,40.492706,why
32.254406,19.321753,nine
70.433754,-11.084931,summer
-36.585438,-17.914768,republican
-8.912199,51.229618,act
-2.9784212,-51.9495,texas
12.7286005,-55.992744,course
-37.993816,-17.65903,senate
67.18628,13.306761,medical
38.528877,34.74824,done
3.1305401,49.05181,reached
12.521713,-32.967033,star
10.340067,6.5126905,investors
65.75131,14.013,care
1.960844,49.761715,signed
13.908395,-14.500329,art
24.087555,37.271503,provide
-33.805622,-17.331985,presidential
25.295273,-53.63498,gold
-35.871777,-21.947514,obama
16.216581,21.080656,morning
-19.962498,22.617733,dead
19.143644,-60.31219,event
19.301088,23.690065,previous
5.9069605,15.458668,cost
35.56686,33.03193,instead
-6.180499,-38.3217,canada
22.687798,-39.935295,band
24.106743,-17.857216,daily
24.281097,36.374004,available
-23.183285,63.46185,drug
4.4899406,7.1543574,investment
-40.11377,-51.925724,michael
-28.80696,22.553436,civil
1.3510013,-10.135891,woman
3.8703215,-18.546766,training
29.587952,30.448814,appeared
-14.213242,30.784811,involved
-52.318886,15.467342,indian
38.170635,22.844955,similar
33.434162,50.641148,situation
-1.0041411,-53.735188,los
-30.330248,21.332956,fighting
-40.355434,-52.598984,mark
-18.609993,52.28014,trial
20.999046,32.228203,hold
-12.587795,-31.353739,australian
37.975243,39.614227,thought
7.692522,-20.380945,study
12.443839,21.53948,fall
-24.846983,-27.163708,mother
-1.0495031,27.6159,met
7.1819863,48.99465,relations
-22.37998,34.1782,anti
22.578545,-36.80578,song
35.086205,25.300816,popular
55.097248,-3.3064682,ground
24.007792,-17.780117,newspaper
-4.9167666,16.604898,staff
23.533007,24.77878,saw
25.280369,27.333675,hand
30.001568,43.709377,hope
-14.054767,29.993778,operations
16.3675,40.18883,pressure
-17.493824,-4.583029,eastern
-10.562767,51.653122,legal
-22.569464,-4.378906,asia
7.899368,16.899902,budget
35.47259,46.232033,considered
34.76726,63.180363,love
17.194057,-20.653614,wrote
1.4837115,56.488155,stop
-21.49921,53.551304,charges
-8.757276,19.174143,aid
5.2630615,6.6240063,management
23.69115,25.18667,brought
-1.4987614,44.79448,decided
23.497425,53.128063,failed
28.06765,-25.787199,network
34.76015,2.1911414,gas
22.952276,26.674503,turned
36.005028,39.443615,fact
-29.972305,-12.902983,vice
-71.82457,-19.741697,mexico
35.373684,26.02856,especially
-39.63482,20.35359,afghanistan
38.8459,23.552078,common
27.060167,-3.5888038,space
23.110334,6.249158,loss
-14.825149,50.92826,justice
-7.922533,15.439639,thousands
-39.040733,-49.47467,james
35.649094,33.153244,rather
4.0294647,7.312099,fund
-57.11377,-4.1310105,republic
-22.43885,52.19855,accused
10.020308,-72.30816,scored
18.900602,-61.14921,championship
38.91855,23.921253,example
29.101273,14.706459,biggest
47.013012,33.607304,performance
12.829858,-59.26019,sports
39.986744,42.017647,let
28.336353,34.340847,allowed
36.83988,30.296839,means
23.346563,32.82912,leave
-38.7256,-48.628773,robert
26.025764,30.577635,personal
62.6187,-11.65362,light
-25.569532,50.08005,arrested
32.068653,34.218212,either
24.16725,37.34547,offer
-29.990612,21.383062,battle
40.435024,21.818047,class
-18.309746,49.057297,evidence
-2.83453,19.450493,society
14.374772,-35.347157,stage
38.593895,34.824783,doing
0.10627104,0.015018876,construction
36.429142,20.58321,various
7.982566,2.2985108,sold
-2.0829003,5.6662574,independent
38.5992,38.154198,kind
-16.171812,2.2505534,airport
-41.217827,-50.719463,paul
-15.5786495,51.946014,judge
29.421541,-16.512106,internet
-34.649437,27.79759,movement
43.097923,-22.201538,room
41.34503,15.797623,original
-1.0396601,-53.774845,angeles
-61.85857,-16.017675,italy
31.36763,-10.0295515,data
38.907528,38.87579,nothing
-20.428925,-7.1822824,sea
26.657713,36.475845,bring
18.836237,22.23159,annual
-74.47851,12.392593,beijing
31.259499,27.846403,present
24.445538,33.89779,remain
-31.20511,14.657391,nato
-6.79169,-55.564728,florida
34.999187,-16.382708,computer
2.1042035,49.68469,contract
-19.353827,-7.465617,coast
8.9576645,31.645391,created
10.956342,14.495823,demand
-37.09429,26.474792,islamic
24.149853,-64.15723,beat
12.382155,19.314037,analysts
-4.008945,34.02071,interview
0.7859172,-13.812937,child
36.4432,37.52412,probably
21.10156,22.759367,spent
-22.531513,-4.4085503,asian
6.8198743,47.787285,cooperation
-15.150765,39.650448,investigation
30.503325,-22.623724,video
13.3038025,8.853054,yen
44.86922,35.63121,bad
42.566338,24.198256,described
19.837072,34.26879,toward
16.926762,-20.67181,written
28.1433,21.197699,throughout
-1.5457385,4.69512,established
-29.882904,16.88564,mission
8.141048,2.98518,buy
16.839293,33.336197,growing
61.02591,-14.344575,green
21.321882,34.99897,forward
25.735716,-48.57426,competition
26.046473,48.807568,poor
19.885286,21.570517,latest
33.31955,42.33833,question
-25.820515,52.5275,prison
42.950687,47.612633,feel
15.7442875,37.529842,attention
28.349318,28.814066,themselves
3.5262747,4.0519414,firm
-20.871994,21.9461,injured
29.477495,27.32084,itself
-32.399582,-18.227497,governor
16.884323,-28.945492,movie
36.56131,16.75051,range
-4.6757755,18.572866,cross
28.550383,-47.256985,track
33.075428,48.54357,difficult
29.971241,5.999962,produced
-4.7622,-5.246085,wall
-36.34845,22.43943,rebels
3.4622965,17.852026,income
29.207674,43.81712,chance
55.36384,-44.354214,species
27.617363,-62.282616,finished
11.725717,21.175123,rise
-60.635532,-13.717229,spain
-4.802843,13.457503,joined
-61.82022,-15.871275,italian
-27.907074,-0.97580665,language
28.309103,23.97246,rest
22.036068,57.662037,serious
-57.72592,-15.057446,paris
18.87463,-61.093548,tournament
30.401026,9.348661,inside
12.2468405,27.819475,scheduled
20.005465,29.522148,immediately
62.061787,-14.986109,brown
17.316824,43.047657,success
-8.703745,13.598477,residents
14.804968,23.170633,meanwhile
10.939746,12.223194,net
6.0570607,-31.507685,hall
23.713428,-55.72093,olympic
-27.616474,-9.8625965,deputy
72.52982,9.280109,heart
22.640717,-60.634026,champion
7.842231,-28.801088,award
41.582897,15.822705,version
20.99902,-58.12025,grand
7.6411967,-20.63649,institute
20.568375,35.115635,step
-35.661083,32.92495,rule
-28.697174,28.538305,labor
23.598621,9.628381,above
-0.19877572,26.386597,summit
39.310795,27.737587,sometimes
33.060402,22.000721,addition
22.608173,31.081654,raised
-39.126144,-47.357327,william
34.643707,29.518164,longer
-3.6832705,28.889845,joint
11.578515,-73.661446,ball
17.852554,26.685383,beginning
40.31652,39.57569,sure
23.726812,32.84492,stay
-8.940602,41.47079,safety
14.841141,11.816587,worth
-71.03386,6.8435307,korean
-54.336594,32.780586,arab
-1.7897462,-14.375823,friends
39.186253,38.8904,anything
-3.648182,-54.93123,atlanta
23.169455,59.96854,caused
-7.183203,33.27632,sources
-27.782885,19.435225,armed
19.538391,4.8202395,cents
-0.21844,42.374687,claimed
40.967808,11.9093075,heavy
-0.42437533,37.854584,noted
