x,y,word
-4.150224,-21.754705,के
66.036316,-44.436474,में
76.883545,-31.960466,की
-79.7396,-2.9541981,है।
66.57294,-47.83433,का
42.219326,-45.140076,और
63.047024,-34.462616,से
-84.52137,-2.7662444,है
53.12138,-30.417477,को
-14.148538,-74.59228,एक
66.859886,-42.875084,पर
35.301395,-57.04192,श्रेणी
-76.573715,-4.8418617,भी
-79.780365,-3.0160985,हैं।
71.48051,1.7173359,लिए
-81.95224,-11.476597,यह
-4.604965,17.831152,ने
11.026418,17.936316,किया
-68.82276,-10.531406,इस
32.889275,-50.59818,हैं
76.559326,-34.055393,कि
31.486198,-48.070896,भारत
-13.45519,-75.30246,जाता
31.5497,-5.2691464,जो
67.686745,-39.31442,ही
-37.52297,16.52282,रूप
66.80843,-42.917904,कर
42.32835,-44.61333,नहीं
-16.369259,-71.4304,या
-87.94394,-4.28802,हो
-53.584274,6.5661287,करने
41.982918,-36.32548,उत्तराखण्ड
68.299736,-47.251698,गया
64.01492,-54.984093,साथ
-38.52718,1.3039521,द्वारा
-82.791,-5.899692,तथा
-34.50502,19.99575,था।
46.70373,-32.524944,पूर्व
62.96743,-34.15592,होता
32.096905,-48.281567,बाद
67.72909,-39.356617,तक
78.814224,-39.383484,एवं
36.039425,-57.84611,अपने
67.34716,-46.458538,जिले
44.474964,-36.565166,था
-53.82445,-13.212178,राज्य
43.12041,-38.80235,बाहरी
2.3992245,-77.88964,कुछ
37.59288,-57.859856,ईसा
66.41572,-43.637672,गाँव
-76.17346,-4.54088,सरकार
39.016182,-63.882954,तो
-13.71094,-71.832695,कड़ियाँ
-14.048538,-74.63099,प्रदेश
78.87365,-35.37129,इसके
39.741173,-45.578075,दिया
37.410637,-61.11791,वह
36.499386,-56.83876,अन्य
-29.665129,-20.52627,जा
55.25031,-60.622707,वर्ष
-69.1431,-10.255606,समय
-51.32618,-12.820032,नाम
44.254402,-32.41533,वे
14.280147,-1.6251435,प्रकार
65.74561,-45.960087,करते
39.121307,-56.245502,भारतीय
32.177544,-34.74841,होती
22.777966,-35.7521,किसी
63.11562,-35.704506,संवत
38.128048,-60.99703,तहसील
68.49983,-47.214756,हुए
-41.014004,-17.164444,क्षेत्र
21.678904,-41.436626,अधिक
26.709005,-35.317318,सकता
26.786327,-35.42025,थे।
-78.55647,-12.198287,कई
66.261826,-45.53855,वाले
24.062244,1.0924294,स्थित
-82.85497,-5.8450546,मण्डल
37.584995,-58.105328,आधिकारिक
-68.41789,-10.603523,कारण
42.32451,-57.271454,होने
32.224205,-34.587116,जैसे
-18.65155,-1.3489785,हुआ
-14.025274,-72.15845,करता
12.437389,-48.313118,गया।
-0.08818229,21.813236,उनके
23.684862,4.026909,जाती
31.47386,-59.31539,सबसे
-21.37719,12.145684,हिन्दी
21.785316,-41.518303,बहुत
-34.362476,20.367125,पहले
64.00199,-55.02634,अपनी
-9.742075,-23.870455,दो
43.68351,-57.370857,होते
-30.82697,38.836258,जिला
39.36039,-52.982613,जब
-1.6061208,-33.242596,उन्होंने
21.959267,-7.730196,अनुसार
36.13821,-49.103733,जन्म
3.981851,54.106796,कोई
-84.826,-5.3724546,इन
27.39875,-30.247133,किया।
39.160027,-57.572754,लेकिन
-2.4141243,-58.756664,ये
55.501305,-46.113186,थे
16.834072,-66.46384,कम
-27.025557,29.626556,कहा
67.8446,-39.483273,थी।
41.164215,-56.890285,लोग
55.0691,-55.45681,आदि
3.2584016,-76.665726,–
-64.0658,38.059425,इन्हें
-35.955673,-12.773181,उसके
32.84891,-50.41963,प्राचीन
0.02169492,-64.616394,देखें
-55.79006,10.889422,उत्तर
-39.99808,-17.237297,तरह
30.846275,-47.10642,भाषा
-28.351347,-19.47287,लिये
75.179634,-33.17087,सभी
-31.453588,38.271633,प्राप्त
40.371376,-46.945297,जाने
21.496946,-41.270714,इसका
62.45288,38.358746,प्रयोग
-85.33148,-1.0375203,न
66.143936,-47.87377,शामिल
5.366658,-75.37193,व
13.071414,-11.035053,इसे
36.26643,-57.97199,करना
27.957138,10.985158,।
-10.490022,7.0010915,उन्हें
39.448616,-45.701893,उस
-70.90993,-33.588852,सकते
79.71624,-36.16594,स्थान
29.898687,-46.83722,बारे
39.107796,-52.867233,रहा
31.918165,16.671837,प्रमुख
35.17061,-56.9768,हुई
-35.01008,19.736359,बीच
-13.925856,-36.375965,गए
-10.574599,25.113327,मुख्य
-71.76094,-21.153107,थी
-22.789022,-45.582104,बिहार
-64.1443,38.14239,द
-86.56009,21.628744,जाते
-29.04004,9.869733,उसे
31.675306,-57.4548,कार्य
64.02834,-54.979088,अन्तर्गत
13.6188,-0.44762254,उनकी
-16.06838,-71.992134,आंध्र
-11.662323,-75.28354,रहे
10.640183,-24.700342,जिसमें
-43.06561,15.515728,नगर
31.362389,-41.913067,उपयोग
46.445816,-36.42725,लोगों
-87.10217,21.896284,आधार
-53.86708,10.482567,काम
-47.85475,-23.466993,मे
2.288136,-79.36593,जीवन
-13.23876,25.89523,विश्व
39.33941,-56.237484,भाग
37.747654,-57.79047,निर्माण
41.191753,-57.46123,गई
-87.09965,21.793959,दोनों
68.17949,-47.05575,राष्ट्रीय
18.456156,-66.39768,जानकारी
-2.0230427,-34.877464,पोर्टल
-86.974625,21.71992,इसी
26.011635,-34.315075,शहर
21.500954,-41.30037,बार
-87.02868,21.838848,वाली
-48.430664,-8.686437,लगभग
65.33696,-34.820404,ओर
0.58542466,-21.392395,इसमें
26.965189,6.6796603,फिल्म
-5.90932,15.874663,यहाँ
35.48866,-6.0693626,प्रसिद्ध
40.774334,-5.041532,विकास
-3.5112565,-37.14999,केवल
-3.5024073,-81.20528,देश
-39.321674,40.47468,वेबसाइट
77.42525,-31.60765,अलग
32.269344,-34.53776,कुमाऊँ
-63.84481,36.470886,विशेष
11.086363,47.059395,इसकी
66.80556,-29.972311,कभी
25.511782,-2.0602608,दी
-4.366809,4.582808,पृष्ठ
63.03638,-34.69472,जी
62.6611,-40.24541,माना
68.533806,-36.499027,शब्द
87.54838,-25.535765,फिर
42.927532,-38.66901,तीन
46.99903,-37.79951,पुरस्कार
-43.266247,-68.526276,लेख
-42.31703,-52.21108,करती
26.388865,-43.16255,जिसे
36.7291,-57.05786,अब
63.360123,-40.768555,कहते
-43.252823,-68.54084,दौरान
42.85737,-53.330658,अमेरिका
25.510315,-2.131354,ई
-81.11997,-5.8312764,मंदिर
0.14323577,34.176975,अलावा
35.671116,-41.236217,वार्ता
-23.333862,-16.85723,दक्षिण
30.801924,-55.055794,स्थल
76.9352,-34.44231,विभिन्न
45.236824,-36.519104,इतिहास
16.808702,0.07425037,लिया
80.90624,-31.92556,फ़िल्म
4.8011265,-8.787147,क्योंकि
66.06023,-34.227318,पास
39.137245,-46.567112,विस्तृत
-25.913609,-10.151106,दिन
43.779533,-53.34533,कृषि
27.600634,3.2412202,गढ़वाल
-5.3408294,18.092554,जाना
39.88521,-51.879368,शुरू
-23.95039,11.748412,व्यक्ति
14.246757,17.749313,उनका
39.662636,-64.17869,विज्ञान
-4.2649674,-38.80244,सदस्य
46.407764,-36.391426,हालांकि
32.743465,-22.277803,सिंह
40.41503,-47.252357,यदि
58.526,38.45076,हुआ।
32.292072,-38.587887,अनेक
-42.31367,17.415533,यहां
-19.082357,18.681814,संख्या
-40.638046,0.6539777,अपना
69.56922,14.588098,जालपृष्ठ
-38.30419,10.946152,बात
51.973434,-30.04492,साहित्य
62.18873,28.150326,शिक्षा
-65.17438,4.158333,दिल्ली
-35.708763,30.292355,धर्म
32.220486,-49.22387,मूल
67.28362,-42.337563,तब
-45.450985,-32.65648,बना
-23.540918,-16.909878,कोड
49.07345,-14.028392,संयुक्त
76.78036,3.9847207,जुलाई
-0.53390306,21.89928,युद्ध
-6.6981425,-33.031002,नदी
23.30528,-20.966679,दूसरे
-53.82163,-13.240307,वाला
-43.545116,-22.087862,काल
16.096762,-35.562122,प्रदान
44.239143,-32.389378,ऐसे
-0.08860999,6.367439,सप्तर्षि
73.17221,-0.13042484,वर्षों
-53.669533,6.4357147,रही
40.055756,-52.33877,प्रति
62.59029,-40.34462,१
32.079636,-30.636187,स्टेशन
-86.38248,21.73351,अथवा
38.55372,-16.998556,बड़े
-35.958206,11.52733,जनवरी
68.500305,-36.46106,मध्य
-17.445171,-44.195717,राजा
-18.757786,33.299736,प्रथम
74.63069,-15.582746,विश्वविद्यालय
32.917767,-0.605594,जून
-26.88748,15.795582,जिसका
-19.91557,7.0037994,उसकी
-43.07231,15.534557,तौर
36.62257,-58.950844,जिसके
42.846367,-58.724358,ऐसा
-55.900734,10.199131,मार्च
25.38126,-49.16416,बन
42.345337,-42.13527,सकती
48.337254,-46.60485,बनी
-86.74488,21.45628,अर्थ
66.119705,-41.80083,नामक
21.695786,-7.8421674,अप्रैल
18.579975,-45.15726,महत्वपूर्ण
-29.697704,23.591913,उन
-3.0906532,46.805202,प्रामाणिक
-38.592834,-18.665264,२
3.3826046,-42.36381,आप
-87.30481,21.514471,किए
-15.552977,-75.479805,अक्टूबर
35.543083,-38.592136,समूह
-7.5897756,-17.116268,देने
0.72787863,-79.780235,वर्तमान
-39.478508,-28.726215,अध्ययन
34.959095,-56.661728,विभाग
-2.2046614,-62.379223,आम
52.976345,-24.525381,स्थिति
40.508724,-28.891636,प्रभाव
60.431423,-47.509537,आदर्श
13.091602,39.628757,ए
20.998913,-44.75326,साल
-8.559217,-82.3158,पहली
-17.289434,-20.532661,संगीत
34.571514,12.213681,किये
-14.960843,-41.72829,इस्तेमाल
28.75429,-32.63744,अमेरिकी
25.291258,-49.50283,सेवा
40.614403,-30.390505,बनाने
33.4681,35.997345,आज
50.05913,11.120849,स्थापित
-3.7776592,-81.44449,उच्च
-21.124796,40.99584,करके
-31.976587,-21.21019,चाहिए
43.417187,-58.56449,देता
